ID,SYMBOL
1091,APPBP2
1092,APPL1
1093,APPL2
1094,APRT
1095,APTR
1096,APTX
1097,AQP1
1098,AQP10
1099,AQP11
1100,AQP12A
1101,AQP12B
1102,AQP2
1103,AQP3
1104,AQP4
1105,AQP4-AS1
1106,AQP5
1107,AQP6
1108,AQP7
1109,AQP7P1
1110,AQP7P2
1111,AQP7P3
1112,AQP7P4
1113,AQP8
1114,AQP9
1115,AQR
1116,AR
1117,ARAF
1118,ARAFP1
1119,ARAFP2
1120,ARAFP3
1121,ARAP1
1122,ARAP2
1123,ARAP3
1124,ARC
1125,ARCN1
1126,AREG
1127,AREL1
1128,ARF1
1129,ARF1P1
1130,ARF1P2
1131,ARF1P3
1132,ARF3
1133,ARF4
1134,ARF4P1
1135,ARF4P2
1136,ARF4P3
1137,ARF4P4
1138,ARF5
1139,ARF6
1140,ARFGAP1
1141,ARFGAP2
1142,ARFGAP3
1143,ARFGEF1
1144,ARFGEF2
1145,ARFGEF3
1146,ARFIP1
1147,ARFIP2
1148,ARFRP1
1149,ARG1
1150,ARG2
1151,ARGFX
1152,ARGFXP1
1153,ARGFXP2
1154,ARGLU1
1155,ARHGAP1
1156,ARHGAP10
1157,ARHGAP12
1158,ARHGAP15
1159,ARHGAP16P
1160,ARHGAP18
1161,ARHGAP19
1162,ARHGAP19-SLIT1
1163,ARHGAP20
1164,ARHGAP21
1165,ARHGAP22
1166,ARHGAP23P1
1167,ARHGAP24
1168,ARHGAP25
1169,ARHGAP26
1170,ARHGAP26-AS1
1171,ARHGAP26-IT1
1172,ARHGAP28
1173,ARHGAP29
1174,ARHGAP30
1175,ARHGAP31
1176,ARHGAP31-AS1
1177,ARHGAP32
1178,ARHGAP33
1179,ARHGAP35
1180,ARHGAP36
1181,ARHGAP39
1182,ARHGAP4
1183,ARHGAP40
1184,ARHGAP42
1185,ARHGAP42P1
1186,ARHGAP42P3
1187,ARHGAP42P4
1188,ARHGAP42P5
1189,ARHGAP44
1190,ARHGAP5
1191,ARHGAP5-AS1
1192,ARHGAP6
1193,ARHGAP8
1194,ARHGAP9
1195,ARHGDIA
1196,ARHGDIB
1197,ARHGDIG
1198,ARHGEF1
1199,ARHGEF10L
1200,ARHGEF11
1201,ARHGEF12
1202,ARHGEF15
1203,ARHGEF16
1204,ARHGEF17
1205,ARHGEF18
1206,ARHGEF2
1207,ARHGEF25
1208,ARHGEF28
1209,ARHGEF3
1210,ARHGEF3-AS1
1211,ARHGEF33
1212,ARHGEF34P
1213,ARHGEF37
1214,ARHGEF38
1215,ARHGEF38-IT1
1216,ARHGEF39
1217,ARHGEF4
1218,ARHGEF40
1219,ARHGEF6
1220,ARHGEF7
1221,ARHGEF7-AS1
1222,ARHGEF9
1223,ARHGEF9-IT1
1224,ARID1A
1225,ARID1B
1226,ARID2
1227,ARID3A
1228,ARID3B
1229,ARID3C
1230,ARID4A
1231,ARID4B
1232,ARID5A
1233,ARID5B
1234,ARIH1
1235,ARIH2
1236,ARIH2OS
1237,ARIH2P1
1238,ARL1
1239,ARL10
1240,ARL11
1241,ARL13A
1242,ARL13B
1243,ARL14
1244,ARL14EP
1245,ARL14EPL
1246,ARL15
1247,ARL16
1248,ARL17A
1249,ARL2
1250,ARL2-SNX15
1251,ARL2BP
1252,ARL2BPP1
1253,ARL2BPP10
1254,ARL2BPP2
1255,ARL2BPP3
1256,ARL2BPP4
1257,ARL2BPP5
1258,ARL2BPP6
1259,ARL2BPP7
1260,ARL2BPP8
1261,ARL3
1262,ARL4A
1263,ARL4C
1264,ARL4D
1265,ARL4AP1
1266,ARL4AP2
1267,ARL5A
1268,ARL5AP1
1269,ARL5AP2
1270,ARL5AP4
1271,ARL5B
1272,ARL5C
1273,ARL6
1274,ARL6IP1
1275,ARL6IP1P1
1276,ARL6IP1P2
1277,ARL6IP1P3
1278,ARL6IP4
1279,ARL6IP5
1280,ARL6IP6
1281,ARL8A
1282,ARL8B
1283,ARL9
1284,ARMC1
1285,ARMC10P1
1286,ARMC12
1287,ARMC2
1288,ARMC2-AS1
1289,ARMC3
1290,ODAD2
1291,ARMC5
1292,ARMC6
1293,ARMC7
1294,ARMC8
1295,ARMC8P1
1296,ARMC9
1297,ARMCX1
1298,ARMCX2
1299,ARMCX3
1300,ARMCX4
1301,ARMCX5
1302,ARMCX5-GPRASP2
1303,ARMCX6
1304,ARMCX7P
1305,ARMS2
1306,ARMT1
1307,ARNT
1308,ARNT2
1309,BMAL1
1310,BMAL2
1311,BMAL2-AS1
1312,ARPC1A
1313,ARPC1B
1314,ARPC2
1315,ARPC3
1316,ARPC3P1
1317,ARPC3P2
1318,ARPC3P3
1319,ARPC3P4
1320,ARPC3P5
1321,ARPC4
1322,ARPC4-TTLL3
1323,ARPC5
1324,ARPC5L
1325,ARPIN
1326,ARPP19
1327,ARPP21
1328,ARR3
1329,ARRB1
1330,ARRB2
1331,ARRDC1
1332,ARRDC1-AS1
1333,ARRDC2
1334,ARRDC3
1335,ARRDC3-AS1
1336,ARRDC4
1337,ARRDC5
1338,ARSA
1339,ARSB
1340,ARSD
1341,ARSDP1
1342,ARSL
1343,ARSLP1
1344,ARSF
1345,ARSFP1
1346,ARSG
1347,ARSH
1348,ARSI
1349,ARSJ
1350,ARSK
1351,ART1
1352,ART2P
1353,ART3
1354,ART4
1355,ART5
1356,ARTN
1357,ARV1
1358,ARVCF
1359,ARX
1360,AS3MT
1361,ASAH1
1362,ASAH2
1363,ASAH2B
1364,ASAP1
1365,ASAP1-IT2
1366,ASAP2
1367,ASB1
1368,ASB10
1369,ASB11
1370,ASB12
1371,ASB13
1372,ASB14
1373,ASB15
1374,ASB16
1375,ASB16-AS1
1376,ASB17
1377,ASB18
1378,ASB3
1379,ASB4
1380,ASB5
1381,ASB6
1382,ASB7
1383,ASB8
1384,ASB9
1385,ASB9P1
1386,ASCC1
1387,ASCC2
1388,ASCC3
1389,ASCL1
1390,ASCL2
1391,ASCL3
1392,ASCL4
1393,ASCL5
1394,ASF1A
1395,ASGR1
1396,ASGR2
1397,ASH1L
1398,ASH1L-AS1
1399,ASH2L
1400,ASIC1
1401,ASIC2
1402,ASIC3
1403,ASIC4
1404,ASIP
1405,ASL
1406,ASLP1
1407,GET3
1408,ASNS
1409,ASNSD1
1410,ASNSP1
1411,ASNSP3
1412,ASNSP4
1413,ASNSP6
1414,ASPA
1415,ASPDH
1416,ASPG
1417,ASPH
1418,ASPHD1
1419,ASPHD2
1420,ASPM
1421,ASPN
1422,ASPRV1
1423,ASPSCR1
1424,ASRGL1
1425,ASS1
1426,ASS1P1
1427,ASS1P10
1428,ASS1P11
1429,ASS1P12
1430,ASS1P13
1431,ASS1P14
1432,ASS1P2
1433,ASS1P3
1434,ASS1P4
1435,ASS1P5
1436,ASS1P6
1437,ASS1P7
1438,ASS1P8
1439,ASS1P9
1440,ASTE1
1441,ASTL
1442,ASTN1
1443,ASTN2
1444,ASTN2-AS1
1445,INTS13
1446,ASXL1
1447,ASXL2
1448,ASXL3
1449,ASZ1
1450,ATAD1
1451,ATAD2
1452,ATAD2B
1453,ATAD3A
1454,ATAD3B
1455,ATAD3C
1456,ATAD5
1457,ATCAY
1458,ATE1
1459,ATE1OSP
1460,ATF1
1461,ATF1P1
1462,ATF2
1463,ATF3
1464,ATF4
1465,ATF4P1
1466,ATF4P2
1467,ATF4P3
1468,ATF4P4
1469,ATF5
1470,ATF6
1471,ATF7
1472,ATF7IP
1473,ATF7IP2
1474,ATG10
1475,ATG101
1476,ATG12
1477,ATG12P1
1478,ATG12P2
1479,ATG13
1480,ATG14
1481,ATG16L2
1482,ATG2A
1483,ATG2B
1484,ATG3
1485,ATG3P1
1486,ATG4A
1487,ATG4B
1488,ATG4C
1489,ATG4D
1490,ATG5
1491,ATG7
1492,ATG9A
1493,ATG9B
1494,PGGHG
1495,ATIC
1496,ATL1
1497,ATL2
1498,ATL3
1499,ATM
1500,ATN1
1501,ATOH1
1502,ATOH7
1503,ATOH8
1504,ATOX1
1505,ATP10A
1506,ATP10B
1507,ATP10D
1508,ATP11A
1509,ATP11A-AS1
1510,ATP11AUN
1511,ATP11B
1512,ATP11C
1513,ATP12A
1514,ATP13A1
1515,ATP13A2
1516,ATP13A3
1517,ATP13A4
1518,ATP13A4-AS1
1519,ATP13A5
1520,ATP13A5-AS1
1521,ATP1A1
1522,ATP1A1-AS1
1523,ATP1A2
1524,ATP1A3
1525,ATP1A4
1526,ATP1B1
1527,ATP1B1P1
1528,ATP1B2
1529,ATP1B3
1530,ATP1B3P1
1531,ATP1B4
1532,ATP2A1
1533,ATP2A1-AS1
1534,ATP2A2
1535,ATP2A3
1536,ATP2B1
1537,ATP2B2
1538,ATP2B2-IT2
1539,ATP2B3
1540,ATP2B4
1541,ATP2C1
1542,ATP2C2
1543,ATP4A
1544,ATP4B
